gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0293-depthramp-ab/artefacts.src/A8-8.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=10622 nnue=/root/jass/jobs/results/cpx62-0266-kingloop-deepplay/artefacts.src/gen8.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1407 / 18750 positions
  played 100 games, 2795 / 18750 positions
  played 150 games, 4190 / 18750 positions
  played 200 games, 5616 / 18750 positions
  played 250 games, 7045 / 18750 positions
  played 300 games, 8460 / 18750 positions
  played 350 games, 9851 / 18750 positions
  played 400 games, 11244 / 18750 positions
  played 450 games, 12587 / 18750 positions
  played 500 games, 13991 / 18750 positions
  played 550 games, 15332 / 18750 positions
  played 600 games, 16694 / 18750 positions
  played 650 games, 18152 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0293-depthramp-ab/artefacts.src/A8-8.jnnw
