gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp0-2.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=25271 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1520 / 18750 positions
  played 100 games, 3079 / 18750 positions
  played 150 games, 4594 / 18750 positions
  played 200 games, 6204 / 18750 positions
  played 250 games, 7687 / 18750 positions
  played 300 games, 9240 / 18750 positions
  played 350 games, 10900 / 18750 positions
  played 400 games, 12540 / 18750 positions
  played 450 games, 14062 / 18750 positions
  played 500 games, 15654 / 18750 positions
  played 550 games, 17155 / 18750 positions
  played 600 games, 18750 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp0-2.jnnw
