gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/sp1-11.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=12185 nnue=/root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/gen0.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1557 / 18750 positions
  played 100 games, 3109 / 18750 positions
  played 150 games, 4646 / 18750 positions
  played 200 games, 6147 / 18750 positions
  played 250 games, 7532 / 18750 positions
  played 300 games, 9162 / 18750 positions
  played 350 games, 10693 / 18750 positions
  played 400 games, 12264 / 18750 positions
  played 450 games, 13729 / 18750 positions
  played 500 games, 15199 / 18750 positions
  played 550 games, 16606 / 18750 positions
  played 600 games, 18229 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/sp1-11.jnnw
