gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/sp1-5.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=15206 nnue=/root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/gen0.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1512 / 18750 positions
  played 100 games, 2951 / 18750 positions
  played 150 games, 4489 / 18750 positions
  played 200 games, 5961 / 18750 positions
  played 250 games, 7496 / 18750 positions
  played 300 games, 9024 / 18750 positions
  played 350 games, 10571 / 18750 positions
  played 400 games, 12061 / 18750 positions
  played 450 games, 13622 / 18750 positions
  played 500 games, 15196 / 18750 positions
  played 550 games, 16774 / 18750 positions
  played 600 games, 18314 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/sp1-5.jnnw
