gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/sp7-16.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=25498 nnue=/root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/gen6.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1550 / 18750 positions
  played 100 games, 3123 / 18750 positions
  played 150 games, 4747 / 18750 positions
  played 200 games, 6221 / 18750 positions
  played 250 games, 7783 / 18750 positions
  played 300 games, 9315 / 18750 positions
  played 350 games, 10928 / 18750 positions
  played 400 games, 12520 / 18750 positions
  played 450 games, 14022 / 18750 positions
  played 500 games, 15668 / 18750 positions
  played 550 games, 17195 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/sp7-16.jnnw
