gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/sp3-2.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=2833 nnue=/root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/gen2.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1550 / 18750 positions
  played 100 games, 2998 / 18750 positions
  played 150 games, 4489 / 18750 positions
  played 200 games, 6088 / 18750 positions
  played 250 games, 7716 / 18750 positions
  played 300 games, 9277 / 18750 positions
  played 350 games, 10806 / 18750 positions
  played 400 games, 12389 / 18750 positions
  played 450 games, 13940 / 18750 positions
  played 500 games, 15453 / 18750 positions
  played 550 games, 17105 / 18750 positions
  played 600 games, 18719 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/sp3-2.jnnw
