gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/sp4-8.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=6032 nnue=/root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/gen3.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1570 / 18750 positions
  played 100 games, 3155 / 18750 positions
  played 150 games, 4729 / 18750 positions
  played 200 games, 6252 / 18750 positions
  played 250 games, 7789 / 18750 positions
  played 300 games, 9226 / 18750 positions
  played 350 games, 10788 / 18750 positions
  played 400 games, 12378 / 18750 positions
  played 450 games, 13930 / 18750 positions
  played 500 games, 15520 / 18750 positions
  played 550 games, 17106 / 18750 positions
  played 600 games, 18613 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/sp4-8.jnnw
