gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/sp5-7.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=2354 nnue=/root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/gen4.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1539 / 18750 positions
  played 100 games, 3151 / 18750 positions
  played 150 games, 4760 / 18750 positions
  played 200 games, 6334 / 18750 positions
  played 250 games, 7966 / 18750 positions
  played 300 games, 9603 / 18750 positions
  played 350 games, 11246 / 18750 positions
  played 400 games, 12794 / 18750 positions
  played 450 games, 14388 / 18750 positions
  played 500 games, 15988 / 18750 positions
  played 550 games, 17661 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0234-rfe-prune24-v2/artefacts.src/sp5-7.jnnw
